x1,x2,x3,y
"22,782",7.9542,"14,647","-10,003"
"-30,985","95,419","64,684","10,946"
"-18,497","-60,458","-10,353","35,841"
"46,573",6.9542,"12,647","27,442"
"-35,069","-40,458","-83,532","-30,184"
"-17,256",3.9542,6.6468,"-26,829"
"-3,165",1.9542,2.6468,"-44,784"
"-30,264","-20,458","-53,532","-52,689"
"16,358","-10,458","-33,532","44,474"
"32,944",3.9542,6.6468,"38,253"
"22,899",6.9542,"11,647","11,907"
"-17,946",6.9542,"12,647","18,865"
"38,375","-11,046","-15,353","17,544"
"-3,893","-30,458","-73,532","44,406"
"18,605","-90,458","-13,353","2,552"
"-31,165",7.9542,"13,647","34,468"
"-23,927","-45,805","-35,316","-46,551"
"-1,749","-30,458","-63,532","81,962"
"78,361",6.9542,"11,647","2,985"
"-42,508","95,419",1.6468,"-28,261"
"-34,069","-60,458","-10,353","-18,725"
"15,488",1.9542,3.6468,"-2,966"
"-44,531",5.9542,9.6468,"42,303"
"-37,742","-30,458","-73,532","38,001"
"47,522",1.9542,2.6468,"-18,271"
"12,313","-70,458","-11,353","-43,333"
"-24,222",2.9542,5.6468,"-3,534"
"-36,346","-45,805","-13,532","-34,791"
"-40,167","-20,458","-43,532","-63,873"
"1,407",7.9542,"13,647","-49,167"
"43,036",6.9542,"12,647","-27,332"
"-15,726","-20,458","-43,532","-39,269"
"-49,257",2.9542,5.6468,"47,567"
"-12,135","-20,458","-43,532","28,222"
"19,208",3.9542,7.6468,"-43,801"
"11,853","-10,458","-33,532","7,882"
"-58,486","-40,458","-83,532","-13,104"
"-37,022","-45,805","-35,316","85,837"
"1,047","-10,046","-14,353","-45,249"
"-43,516","95,419","64,684","19,016"
"27,771","-20,458","-43,532","83,856"
"3,341","-80,458","-12,353","-25,377"
"-28,135","95,419","64,684","-4,023"
"-18,698","95,419","64,684","-26,921"
"-35,256","-11,046","-15,353","-46,767"
"-97,303","-80,458","-12,353","-10,148"
"-20,901",7.9542,"13,647","-75,235"
"41,595","-45,805","-35,316","46,315"
"-32,584","-11,046","-15,353","41,683"
"-40,514","-11,046","-15,353","22,898"
"-28,277","-45,805","-13,532","-19,615"
"17,431","-20,458","-53,532","-19,345"
"-41,169",7.9542,"14,647","22,488"
"70,869","-40,458","-83,532","-4,436"
"54,686","-10,046","-14,353","-88,858"
"-48,439",4.9542,8.6468,"-3,934"
"3,243","-20,458","-43,532","43,944"
"8,091",7.9542,"13,647","33,012"
"-30,892","-10,458","-33,532","21,595"
"-80,434","-30,458","-63,532","-1,842"
"-59,622","-45,805","-13,532","15,194"
"2,733","95,419",1.6468,"21,316"
"-25,815","-80,458","-12,353","-10,496"
"10,059","95,419","64,684","-43,215"
"-27,776",4.9542,8.6468,"45,002"
"-34,015",7.9542,"14,647","-46,462"
"88,018","-30,458","-63,532","-43,889"
"12,847","95,419","64,684","48,068"
"-73,002","-50,458","-93,532","23,353"
"13,355","-90,458","-13,353","-15,334"
"33,123","-20,458","-53,532","-18,714"
"-18,249",1.9542,3.6468,"35,861"
"46,437","-20,458","-43,532","3,178"
"23,206",6.9542,"12,647","-4,717"
"18,935",5.9542,9.6468,"10,539"
"-26,797",2.9542,5.6468,"-29,722"
"-21,971","-10,458","-33,532","12,309"
"47,441",7.9542,"13,647","48,694"
"85,311","-50,458","-93,532","16,934"
"-1,365",6.9542,"12,647","80,381"
"23,661",7.9542,"13,647","72,256"
"-34,029",4.9542,8.6468,"-41,018"
"-12,176","-70,458","-11,353","40,286"
"36,421","-20,458","-53,532","-70,984"
"-24,236",6.9542,"12,647","-4,529"
"1,422","-20,458","-43,532","88,689"
"-19,286",2.9542,5.6468,"36,291"
"22,024",4.9542,8.6468,"-21,401"
"-13,354",4.9542,8.6468,"28,127"
"-48,161","-70,458","-11,353","26,136"
"-46,748",2.9542,4.6468,"-4,435"
"-29,462",3.9542,6.6468,"33,367"
"5,551","-70,458","-11,353","29,803"
"31,133","-60,458","-10,353","22,084"
"41,662","-70,458","-11,353","34,222"
"-3,137",4.9542,8.6468,"11,061"
"19,261","-45,805","-13,532","81,601"
"16,933",7.9542,"14,647","-38,381"
"-25,087",4.9542,8.6468,"28,191"
"21,119","95,419",1.6468,"-1,726"
"-66,188",3.9542,6.6468,"26,814"
"-20,342","-10,458","-23,532","-10,912"
"-25,453",1.9542,2.6468,"-64,523"
"22,174","-30,458","-73,532","45,236"
"-52,046","-20,458","-53,532","76,031"
"-30,539","-45,805","-35,316","-4,203"
"43,014",4.9542,8.6468,"35,777"
"-75,769",4.9542,8.6468,"1,896"
"-29,271","-45,805","-35,316","41,536"
"-40,486","-50,458","-93,532","35,472"
"-32,806","-45,805","-13,532","-78,696"
"-3,086",6.9542,"12,647","13,177"
"-1,622",7.9542,"13,647","36,183"
"40,353","-45,805","-35,316","57,391"
"47,097","-45,805","-35,316","-20,754"
"20,227","-20,458","-53,532","-16,531"
"-42,492",6.9542,"12,647","48,611"
"58,624",2.9542,5.6468,"10,464"
"41,114",4.9542,8.6468,"21,396"
"33,618",6.9542,"11,647","-17,866"
"25,076","-10,046","-14,353","-43,154"
"14,312","-60,458","-10,353","15,968"
"37,389","-10,458","-23,532","16,188"
"54,619","-60,458","-10,353","-39,349"
"-89,856","-90,458","-13,353","-16,511"
"38,695","-70,458","-11,353","44,414"
"47,297",1.9542,3.6468,"33,774"
"12,911","-10,458","-23,532","26,863"
"-21,108","-80,458","-12,353","-57,907"
"-34,097",4.9542,8.6468,"-10,925"
"-21,413","-10,046","-14,353","-38,256"
"-42,115",6.9542,"12,647","-96,792"
"24,934","-10,458","-23,532","47,615"
"29,414","95,419","64,684","4,686"
"-17,583","-10,046","-14,353","-21,758"
"49,635",3.9542,6.6468,"34,142"
"-20,479","-11,046","-15,353","-35,758"
"-45,011","95,419","64,684","-23,685"
-259,1.9542,3.6468,"-46,304"
"37,335","-10,458","-33,532","43,706"
"12,462",6.9542,"12,647","13,024"
"30,913",7.9542,"13,647","32,932"
"14,287",2.9542,5.6468,"-1,667"
"10,209","-30,458","-63,532","-31,617"
"-48,752","-20,458","-53,532","89,197"
"28,642","-30,458","-73,532","-11,368"
"35,073",5.9542,"10,647","30,742"
"21,364","-30,458","-73,532","-96,776"
"-17,175","-60,458","-10,353","-17,606"
"-50,046",5.9542,9.6468,"15,493"
"-1,368","-11,046","-15,353","34,942"
"-18,705",3.9542,6.6468,"30,811"
"31,212",2.9542,5.6468,"20,908"
"42,627","-45,805","-35,316","-11,232"
"43,161",7.9542,"13,647","-16,309"
"-21,102",5.9542,9.6468,"16,252"
"4,411","-10,458","-23,532","-59,706"
"-30,835","-30,458","-63,532","44,576"
"-44,335",6.9542,"11,647","-98,342"
"41,704","-80,458","-12,353","-28,896"
"-44,486","-30,458","-63,532","-31,953"
"41,191","-45,805","-13,532","75,177"
"16,063",7.9542,"13,647","46,284"
"40,688","-20,458","-43,532","-24,994"
"-40,873",4.9542,8.6468,"15,281"
"49,021",1.9542,2.6468,"-35,283"
"-15,971","-70,458","-11,353","-69,458"
"-73,857",6.9542,"12,647","16,906"
"97,334","-50,458","-93,532","-36,986"
"-23,307",6.9542,"12,647","3,053"
346,"-10,458","-23,532","74,684"
"-37,234","-70,458","-11,353","29,462"
"15,855","95,419",1.6468,"-3,718"
"-4,459",6.9542,"12,647","40,141"
"18,472",3.9542,7.6468,"20,292"
"-29,195","-20,458","-43,532","-41,146"
"-49,002","-40,458","-83,532","3,587"
"-24,731","-30,458","-73,532","-71,476"
"29,778","-10,046","-14,353","2,803"
"-44,169","-30,458","-63,532","-22,007"
"46,982","-45,805","-35,316","-14,907"
"-35,057",2.9542,5.6468,"-28,559"
"25,833",7.9542,"13,647","-18,782"
"-48,014","-10,458","-33,532","29,412"
"-95,896",6.9542,"11,647","-12,092"
"24,304","-30,458","-73,532","-27,626"
"-17,732","-50,458","-93,532","11,272"
"16,678","-10,458","-23,532","41,599"
"26,196",2.9542,4.6468,"-40,338"
"-29,102",3.9542,6.6468,"-7,783"
"-18,146","-90,458","-13,353","49,163"
"-16,477",1.9542,2.6468,"36,979"
"9,425","-20,458","-53,532","-75,806"
"-23,624","-80,458","-12,353","21,818"
"-48,415","-50,458","-93,532","3,019"
"27,544","-10,458","-33,532","-24,112"
"92,511",7.9542,"13,647","-16,619"
"44,233","-30,458","-73,532","-10,958"
"-47,151","-45,805","-13,532","-47,164"
"-23,026",3.9542,7.6468,"47,655"
"23,607",1.9542,2.6468,"4,448"
"19,057",7.9542,"14,647","-31,996"
"34,707","95,419",1.6468,"21,563"
"39,074",6.9542,"11,647","20,157"
"30,132","-11,046","-15,353","49,186"
"-34,781",2.9542,5.6468,"71,799"
"47,765",3.9542,6.6468,"-42,427"
"34,286","-45,805","-13,532","-3,533"
"-82,693","-50,458","-93,532","45,153"
"-51,852","-30,458","-73,532","-41,328"
"-2,624","-20,458","-53,532","27,167"
"-54,918",4.9542,8.6468,"-18,123"
"19,703",4.9542,8.6468,"13,322"
"-42,596",1.9542,3.6468,"21,632"
"-28,621","-50,458","-93,532","92,485"
"-96,001",4.9542,8.6468,"-41,937"
"-1,047",1.9542,3.6468,"50,693"
"-24,237","-30,458","-63,532","-2,598"
"-75,951","-45,805","-13,532","-79,836"
"26,791",6.9542,"12,647","38,067"
"11,188","-11,046","-15,353","-26,067"
"23,087","-40,458","-83,532","-17,685"
"25,674","-50,458","-93,532","80,006"
"-14,667",4.9542,8.6468,"27,007"
"31,823",5.9542,9.6468,"4,688"
"17,422",4.9542,8.6468,"-23,367"
"-42,392","-10,046","-14,353","17,858"
"-14,719","-45,805","-13,532","25,031"
"94,202",2.9542,5.6468,"-33,102"
"86,696","-45,805","-13,532","25,112"
"40,373",3.9542,7.6468,"16,762"
"-14,381","-60,458","-10,353","-34,594"
"-35,786","-60,458","-10,353","-36,218"
"12,868","-30,458","-63,532","-73,815"
"24,864",6.9542,"12,647","-12,723"
"-26,728",3.9542,6.6468,"-31,648"
"38,113","-50,458","-93,532","-49,925"
"12,689","-50,458","-93,532","-91,669"
"-19,016","-60,458","-10,353","-72,334"
"1,958",5.9542,9.6468,"19,158"
"36,356","-10,046","-14,353","10,898"
"12,523","-30,458","-73,532","-24,786"
"45,594","-40,458","-83,532","-77,695"
"-38,335","-10,458","-33,532","42,843"
"-30,468",5.9542,9.6468,"31,534"
"-8,023","-11,046","-15,353","95,191"
"-40,493","-45,805","-35,316","29,668"
"-45,438","-45,805","-13,532","90,949"
"-33,539","95,419","64,684","-41,599"
"-20,938","-10,046","-14,353","27,154"
"-19,549","-45,805","-13,532","47,893"
"9,255",3.9542,7.6468,"-20,194"
"27,637","-30,458","-63,532","-53,824"
"-15,998","-45,805","-13,532","31,903"
"-46,735","-20,458","-43,532","-3,966"
"-14,942","-45,805","-13,532","-13,026"
"24,827",3.9542,6.6468,"-41,742"
"26,067",4.9542,8.6468,"14,776"
"13,098",1.9542,3.6468,"-38,869"
"-24,227","95,419",1.6468,"-12,229"
"-47,282",7.9542,"13,647","-1,879"
"24,882","-60,458","-10,353","39,806"
"-30,039","-20,458","-53,532",-761
"60,877","-11,046","-15,353","82,281"
"33,567","-60,458","-10,353","-18,824"
"20,657",1.9542,2.6468,"-17,861"
"12,978",4.9542,8.6468,"40,982"
"-46,716","-45,805","-35,316","-44,037"
0.26,3.9542,6.6468,"11,465"
"-44,995","-45,805","-13,532","32,245"
"14,216",2.9542,4.6468,"46,883"
"31,428",4.9542,8.6468,"-16,578"
"40,918",6.9542,"12,647","14,384"
"-45,394","-10,046","-14,353","-3,053"
"-3,485",7.9542,"13,647","-39,042"
"-1,365","-30,458","-73,532","-40,606"
"-27,085",7.9542,"13,647","43,328"
"-28,885",7.9542,"13,647","-23,551"
"-14,466",4.9542,8.6468,"-27,643"
"-49,452","-45,805","-13,532","78,055"
"-40,541",2.9542,5.6468,"-34,655"
"-18,131","-70,458","-11,353","44,201"
"-29,716",1.9542,2.6468,"-44,971"
"-35,343",3.9542,6.6468,"-37,373"
"11,642",7.9542,"13,647","36,305"
"24,044",4.9542,8.6468,"17,921"
"24,875","-10,458","-23,532","35,769"
"-26,203","-20,458","-43,532","-20,689"
"-44,536","-70,458","-11,353","-18,858"
"-27,728","-60,458","-10,353","-31,989"
"-53,294","-60,458","-10,353","35,083"
"23,244","-45,805","-35,316","-27,913"
"-47,348","-40,458","-83,532","27,577"
"-20,518",1.9542,2.6468,"51,922"
"-2,508",7.9542,"14,647","-76,871"
"-13,036","-10,458","-23,532","23,443"
"-13,083",3.9542,6.6468,"-56,595"
"-36,397","95,419","64,684","36,063"
"25,908",2.9542,5.6468,"3,378"
"4,574",2.9542,5.6468,"-46,219"
"30,176","-40,458","-83,532","5,879"
"-4,922",7.9542,"14,647","3,454"
"-10,368","-45,805","-35,316","47,847"
"-14,362","-20,458","-43,532","-38,289"
"18,455",4.9542,8.6468,"-54,954"
"40,401",2.9542,4.6468,"-27,234"
"-75,757","-90,458","-13,353","25,866"
"-37,906",5.9542,9.6468,"-21,561"
"98,961","-10,046","-14,353","-2,847"
"15,192",7.9542,"14,647","76,773"
"25,678","95,419","64,684","-22,376"
"-29,966","-45,805","-13,532","-12,141"
"25,938","-10,458","-33,532","-21,921"
"-42,189",2.9542,5.6468,"-43,591"
"14,093",3.9542,7.6468,-184
"25,829",6.9542,"11,647","29,192"
"-33,208",4.9542,8.6468,"-11,791"
"40,546",1.9542,3.6468,"3,102"
"31,993",7.9542,"13,647","38,496"
"-4,533",1.9542,2.6468,"22,524"
"49,122",7.9542,"13,647","-12,273"
"37,356",6.9542,"11,647","-37,246"
"49,228",5.9542,9.6468,"-63,641"
"33,417","-50,458","-93,532","-1,691"
"3,451",5.9542,"10,647","35,871"
"-19,449",6.9542,"11,647","39,136"
"32,376","-45,805","-35,316","-48,068"
"44,612",1.9542,2.6468,"-43,063"
"49,891",2.9542,4.6468,"-24,859"
"36,412","-11,046","-15,353","53,197"
"-1,869","-30,458","-73,532","-98,976"
"15,354","95,419",1.6468,"15,699"
"48,269","-10,046","-14,353","-36,021"
"24,389",3.9542,7.6468,"-35,985"
"-20,937","-10,046","-14,353","38,926"
"-47,474",6.9542,"11,647","-10,307"
"-22,435",5.9542,9.6468,"11,098"
"1,241","-20,458","-43,532","46,924"
"7,412","-11,046","-15,353","-30,028"
"14,796",2.9542,4.6468,"-46,425"
"15,346","-10,458","-23,532","47,512"
"-37,886","-20,458","-53,532","-30,336"
"26,512","-30,458","-73,532","16,363"
"-42,482","-90,458","-13,353","23,549"
"30,321","-11,046","-15,353","20,172"
"-39,316",2.9542,5.6468,"34,825"
"-49,504",5.9542,"10,647","10,627"
"-45,779",3.9542,6.6468,"-28,954"
"-3,715","-10,458","-23,532","-43,553"
"-86,322","-10,046","-14,353","32,085"
"48,527","-10,458","-33,532","-53,842"
"-20,045","-45,805","-13,532","-7,372"
"-34,269",7.9542,"13,647","-40,563"
"31,351",7.9542,"14,647","-49,669"
"40,588","-45,805","-13,532","-37,444"
"-34,972",5.9542,9.6468,"-38,231"
"10,809","95,419",1.6468,"95,402"
"-9,103","-30,458","-63,532","-27,289"
"-39,394","-30,458","-73,532","44,035"
"37,373","-80,458","-12,353","-42,808"
"-6,405",4.9542,8.6468,"40,479"
"4,051",7.9542,"14,647","22,154"
"-2,588",5.9542,9.6468,"-41,767"
"-29,421","-80,458","-12,353","46,209"
"56,589",1.9542,3.6468,"99,159"
"19,341",1.9542,2.6468,"34,454"
"22,646","-20,458","-53,532","13,344"
"-21,214","-40,458","-83,532","-11,029"
"37,238",4.9542,8.6468,"42,045"
"-41,328","-45,805","-13,532","42,839"
"40,424","-20,458","-53,532","86,061"
"25,381",3.9542,7.6468,-116
"33,981","-30,458","-73,532","-31,301"
"12,545","-40,458","-83,532","46,047"
"90,144","-90,458","-13,353","-24,571"
"1,067","-80,458","-12,353","18,743"
"17,137",1.9542,2.6468,"18,153"
"38,025",7.9542,"13,647","-45,925"
"17,044","-20,458","-43,532","49,928"
"-1,734",6.9542,"11,647","10,163"
"-26,082","-10,458","-23,532","-49,309"
"13,726","-45,805","-13,532","36,612"
"19,023",3.9542,6.6468,"-33,348"
"-90,652",7.9542,"14,647","39,689"
"19,297","-11,046","-15,353","23,957"
"14,049",5.9542,"10,647","12,917"
"-11,902","-80,458","-12,353","24,509"
"16,081","-10,046","-14,353","13,728"
"-1,592",4.9542,8.6468,"2,891"
"-95,887",6.9542,"11,647","-90,675"
"-50,036","95,419",1.6468,"-11,559"
"-43,671","-45,805","-35,316","39,141"
"22,596",6.9542,"12,647","14,604"
"-29,083","-45,805","-13,532","-41,853"
"24,965",2.9542,4.6468,"45,819"
"33,327","-80,458","-12,353","-45,579"
"40,118","-30,458","-63,532","-33,441"
"23,508","-90,458","-13,353",0.2
"23,367","-20,458","-53,532","31,808"
"-80,171",5.9542,9.6468,"3,676"
"-30,783","-30,458","-73,532","82,633"
"-16,952","-70,458","-11,353","-2,029"
"12,166","-20,458","-43,532","-29,531"
"30,558","-40,458","-83,532","-90,982"
"-43,186","-30,458","-73,532","-22,436"
"-16,513",5.9542,9.6468,"-18,867"
"-13,486","-10,458","-23,532","41,816"
-255,"-10,458","-23,532","44,507"
"-36,733",5.9542,9.6468,"53,991"
"-78,063","-45,805","-13,532","24,996"
"-28,368","95,419","64,684","-22,509"
"-10,893","-45,805","-13,532","-30,772"
"38,256","-80,458","-12,353","90,864"
"-20,681",6.9542,"12,647","-44,849"
"26,385","-70,458","-11,353","38,465"
"-26,222","-45,805","-13,532","-49,778"
"34,877","-20,458","-43,532","-30,871"
"60,466","-10,458","-33,532","-41,302"
"23,306","-60,458","-10,353","13,637"
"4,739","-45,805","-13,532","33,203"
"38,849","-45,805","-35,316","48,996"
"-1,404","-60,458","-10,353","-12,533"
"-40,509",1.9542,3.6468,"39,308"
"-13,127",1.9542,2.6468,"80,899"
"93,084","-45,805","-13,532","-25,418"
"-3,296",7.9542,"13,647","-20,975"
"22,339",6.9542,"12,647","-43,916"
"-14,049","-10,458","-23,532","30,669"
"-25,123",6.9542,"12,647","-20,928"
"-40,525",6.9542,"11,647","39,661"
"-25,274","-11,046","-15,353","-2,023"
"36,367","-60,458","-10,353","18,915"
"-1,386","95,419","64,684","21,008"
"-27,078","-90,458","-13,353","44,282"
"-1,087",6.9542,"11,647",442
"72,066","-40,458","-83,532","-26,377"
"37,355","-30,458","-63,532","-18,655"
"3,936","-20,458","-53,532","16,598"
"-11,898","-10,458","-33,532","11,736"
"-22,725","-10,046","-14,353","28,185"
"-41,248","-20,458","-43,532","4,662"
"-35,428",2.9542,5.6468,"-31,365"
"-30,036","-10,458","-33,532","-39,294"
"76,338",4.9542,8.6468,"28,189"
"48,069","-45,805","-35,316","-30,642"
"36,425","-40,458","-83,532","-31,132"
"47,144",7.9542,"13,647","48,977"
"-36,179","-11,046","-15,353","-43,151"
"29,934",6.9542,"12,647","96,227"
"33,605","95,419",1.6468,"-11,938"
"25,641","-40,458","-83,532","17,321"
"18,191",5.9542,"10,647","-45,765"
"-27,393",6.9542,"11,647","21,513"
"-24,916",4.9542,8.6468,"-31,689"
"10,632",4.9542,8.6468,"-37,072"
"31,579",3.9542,6.6468,"-28,623"
"29,796",2.9542,5.6468,"12,775"
"-76,657","-80,458","-12,353","29,414"
"-20,701",3.9542,7.6468,"-3,512"
"14,699",6.9542,"11,647","16,459"
"40,971","-10,458","-23,532","-15,282"
"-46,127",1.9542,3.6468,"-36,144"
"-47,342","-45,805","-13,532","38,717"
"-31,311","-45,805","-35,316","-26,917"
"31,218",4.9542,8.6468,"6,602"
"20,577","-10,458","-23,532","-10,952"
-0.5,"-20,458","-53,532","59,469"
"-10,406",7.9542,"13,647","25,303"
"-17,351",2.9542,5.6468,"4,781"
"16,923",5.9542,"10,647","-39,987"
"3,279",6.9542,"11,647","-49,572"
"81,848","-30,458","-73,532","18,559"
"-18,944","-45,805","-35,316","-22,995"
"-13,128",7.9542,"14,647","-17,316"
"-38,128","-50,458","-93,532","-25,131"
"27,392",2.9542,5.6468,"-17,922"
"22,638",4.9542,8.6468,"-17,077"
"-18,665","-10,458","-23,532","36,113"
"45,824","-60,458","-10,353","-10,624"
"23,299",6.9542,"12,647","-11,281"
"-21,192",3.9542,7.6468,"4,258"
"-10,896","-20,458","-53,532","-13,918"
"21,775","95,419",1.6468,"-47,577"
"41,078",3.9542,7.6468,"15,091"
"-12,589","-50,458","-93,532","-18,201"
"32,404",5.9542,9.6468,"-28,412"
"-21,112","-45,805","-35,316",-496
"-13,659","-30,458","-73,532","-4,899"
"-68,122","-40,458","-83,532","30,998"
"43,108","-40,458","-83,532","-27,112"
"-20,204",7.9542,"13,647","-31,228"
"-36,488","-40,458","-83,532","-30,146"
"12,287",7.9542,"13,647","30,837"
"-34,568",7.9542,"13,647","10,546"
"-40,672","-10,458","-33,532","-39,097"
"15,455",7.9542,"14,647","-22,821"
"-14,446",2.9542,4.6468,"47,392"
"38,976","-80,458","-12,353","-14,513"
"-13,684",7.9542,"13,647","-95,313"
"1,833",1.9542,2.6468,"-38,041"
"-37,939",4.9542,8.6468,"30,978"
"1,132",5.9542,9.6468,"22,249"
"-31,491",5.9542,9.6468,"77,599"
"42,311",3.9542,7.6468,"30,965"
"-50,015",3.9542,7.6468,"-30,259"
"27,469","-20,458","-53,532","-42,482"
"2,665","95,419",1.6468,"16,758"
"41,511",6.9542,"12,647","-46,525"
"-35,951","-45,805","-13,532","95,889"
"-4,753","-45,805","-13,532","38,074"
"-13,252",4.9542,8.6468,"33,505"
"-6,589",4.9542,8.6468,"27,176"
"4,131","-80,458","-12,353","73,758"
"40,349","-70,458","-11,353","-47,733"
"24,415","-20,458","-53,532","4,277"
"34,979",1.9542,3.6468,"17,996"
"23,846","-10,458","-23,532","14,142"
"-3,606","95,419","64,684","22,769"
"26,868","-70,458","-11,353","-45,387"
"-59,791","-70,458","-11,353","-87,743"
"73,643","-10,046","-14,353","-16,748"
"30,151","-20,458","-43,532","-11,115"
"-23,249","-11,046","-15,353","27,729"
"27,384","95,419",1.6468,"14,924"
"49,818","-80,458","-12,353","-2,314"
"-3,597",2.9542,5.6468,"-36,532"
"-21,464","-70,458","-11,353","-44,146"
"-15,636",6.9542,"11,647","-95,568"
"37,333",7.9542,"13,647","-1,196"
"16,031","-90,458","-13,353","-47,079"
"60,825","-20,458","-43,532","-44,215"
"48,986","-10,458","-33,532","10,657"
"-33,168",3.9542,7.6468,"-26,933"
"20,798","-45,805","-13,532","10,451"
"-23,526","-10,458","-23,532","-40,883"
"-2,882",3.9542,7.6468,"33,339"
"-44,364","-10,458","-33,532","-24,504"
"27,412","-80,458","-12,353","37,221"
"-26,351",7.9542,"13,647","20,453"
"-35,638",3.9542,7.6468,"-6,246"
"-25,451",6.9542,"12,647","-2,064"
"34,819",3.9542,7.6468,"23,102"
"-41,714","-30,458","-63,532","15,407"
"-15,511","-80,458","-12,353","21,614"
"99,868",5.9542,"10,647","-48,169"
"13,959",2.9542,5.6468,"-28,009"
"42,747","-40,458","-83,532","34,559"
"29,648","95,419",1.6468,"46,832"
"44,748","-30,458","-63,532","36,512"
"-16,436","-90,458","-13,353","-28,759"
"-3,023","-10,046","-14,353","-13,328"
"46,244",6.9542,"12,647","27,115"
"-67,577",2.9542,4.6468,"2,222"
"36,346","95,419","64,684","-57,914"
"43,747","-10,046","-14,353","17,105"
"-35,327",7.9542,"14,647","-44,686"
"-23,754","-45,805","-13,532","33,931"
"-15,877","-80,458","-12,353","28,635"
"19,783",7.9542,"13,647","38,253"
"-45,348","-50,458","-93,532","-2,448"
"15,492","-20,458","-53,532","-31,296"
"-33,583","-20,458","-43,532","-10,865"
"45,885",6.9542,"11,647","92,531"
"28,971","-10,458","-23,532","-40,198"
"33,022",4.9542,8.6468,"-30,718"
"-1,425","-10,458","-33,532","-39,325"
"-19,609",6.9542,"12,647","-71,265"
"-38,599","-40,458","-83,532","45,241"
"30,544",5.9542,"10,647","38,287"
"-86,494",1.9542,2.6468,"21,738"
"-46,431","-45,805","-35,316","35,316"
"-23,512","-20,458","-53,532","77,472"
"-22,826","-20,458","-53,532","-38,746"
"46,303","-20,458","-53,532","36,684"
"2,218","-30,458","-73,532","-16,454"
"-14,563",2.9542,5.6468,"-47,783"
"-9,938",1.9542,3.6468,"-34,294"
"32,926","-10,458","-23,532","47,167"
"-2,452","-45,805","-35,316","-93,067"
"30,944","-45,805","-35,316","-78,727"
"14,323","-45,805","-13,532","-34,234"
"-66,516",5.9542,9.6468,"-84,006"
"-27,569","-20,458","-43,532","-25,702"
"-82,513",4.9542,8.6468,"11,099"
"-13,351","-10,046","-14,353","46,054"
"49,731",4.9542,8.6468,"-30,931"
"39,662","-30,458","-63,532","40,495"
"-19,678","-90,458","-13,353","-20,912"
"-48,624","-10,458","-33,532","23,026"
"22,453",5.9542,9.6468,"-17,635"
"-14,943",3.9542,6.6468,"-34,558"
"-21,903",7.9542,"13,647","-22,788"
"39,259","95,419",1.6468,"24,579"
"-11,885","-50,458","-93,532","32,591"
"16,867","95,419","64,684","-40,386"
"12,964","95,419","64,684","-2,272"
"37,878","-50,458","-93,532","-82,419"
"51,358",1.9542,3.6468,"34,292"
"47,005","-20,458","-43,532","-76,163"
"11,062","-60,458","-10,353","-36,113"
"-54,016",6.9542,"12,647","19,296"
"4,355","95,419","64,684","3,249"
"73,543",6.9542,"12,647","30,974"
"-24,662",3.9542,7.6468,"33,658"
"-3,397",7.9542,"13,647","-43,941"
"-1,016",4.9542,8.6468,"27,034"
"-22,589",2.9542,5.6468,"91,831"
"13,996",3.9542,6.6468,"35,633"
"-35,275",2.9542,4.6468,"-42,243"
"-67,532",1.9542,3.6468,"-35,899"
"13,782","-50,458","-93,532","32,019"
"-36,179",2.9542,5.6468,"25,005"
"11,285","-20,458","-43,532","31,094"
"23,948","-30,458","-73,532","-14,883"
"-78,231","-50,458","-93,532","23,258"
"23,724","-10,458","-23,532","-40,017"
"-2,359",2.9542,4.6468,"31,419"
"15,424","-45,805","-35,316","-21,683"
"21,601",2.9542,4.6468,"-16,992"
"49,806",2.9542,5.6468,"-30,574"
"25,272","-20,458","-43,532","-16,953"
"2,471","-30,458","-63,532","-75,896"
"33,251","-45,805","-35,316","43,219"
"-26,565","-45,805","-13,532","18,956"
"-17,981","-10,458","-33,532","28,783"
"14,904","-90,458","-13,353","-47,605"
"17,474","-30,458","-63,532","16,388"
"-34,924",7.9542,"14,647","-17,457"
"25,872","-30,458","-63,532","35,573"
"44,319",3.9542,7.6468,"-38,256"
"11,121",4.9542,8.6468,"-28,579"
"11,794",3.9542,7.6468,"-11,087"
"-20,014","-60,458","-10,353","-3,081"
"6,925",7.9542,"13,647","25,664"
"37,813",5.9542,9.6468,"-32,049"
"11,898","-11,046","-15,353","43,837"
"18,817",7.9542,"14,647","-19,426"
"44,657",3.9542,6.6468,"-12,386"
"37,843",6.9542,"11,647","33,621"
"25,249","-60,458","-10,353","-18,825"
"16,372",3.9542,7.6468,"40,775"
"-29,386","-60,458","-10,353","-11,266"
"-30,278","-10,046","-14,353","33,787"
"-20,418",5.9542,"10,647","-34,729"
"-41,673","-30,458","-73,532","2,827"
"-28,762",7.9542,"13,647","41,736"
"13,531","-30,458","-63,532","-95,698"
"40,025",4.9542,8.6468,"1,268"
"31,045",1.9542,3.6468,"-31,095"
"-40,857",1.9542,3.6468,"-23,946"
"-45,946",5.9542,"10,647","18,662"
"-29,648",6.9542,"12,647","19,641"
"-13,303","-11,046","-15,353","29,814"
"-21,237","-11,046","-15,353","13,676"
"3,255","-60,458","-10,353","-28,013"
"-15,368",3.9542,7.6468,"31,742"
"49,779","-80,458","-12,353","17,658"
"49,356","95,419",1.6468,"-39,202"
"21,226",4.9542,8.6468,"-40,762"
"40,005","-50,458","-93,532","-1,857"
